# toluene
# wavenumber (cm-1), transmittance
2923.49499, 0.3467
2931.926695, 0.247
2940.3584, 0.3145
2948.790105, 0.3913
2957.22181, 0.3926
2965.653515, 0.4032
2974.08522, 0.4461
2982.516925, 0.4525
2990.94863, 0.4503
2999.380335, 0.4706
3007.81204, 0.45
3016.243745, 0.3968
3024.67545, 0.3135
3033.107155, 0.1182
3041.53886, 0.0896
3049.970565, 0.2388
3058.40227, 0.341
3066.833975, 0.303
3075.26568, 0.2881
3083.697385, 0.4336
3092.12909, 0.4191
3100.560795, 0.414
3108.9925, 0.6651
3117.424205, 0.6966
3125.85591, 0.7759
3134.287615, 0.8406
3142.71932, 0.8689
3151.151025, 0.8783
3159.58273, 0.882
3168.014435, 0.8827
3176.44614, 0.8853
3184.877845, 0.8953
3193.30955, 0.899
3201.741255, 0.901
3210.17296, 0.9023
3218.604665, 0.903
3227.03637, 0.904
3235.468075, 0.906
3243.89978, 0.904
3252.331485, 0.904
3260.76319, 0.904
3269.194895, 0.904
3277.6266, 0.904
3286.058305, 0.904
3294.49001, 0.904
3302.921715, 0.904
3311.35342, 0.903
3319.785125, 0.903
3328.21683, 0.903
3336.648535, 0.903
3345.08024, 0.903
3353.511945, 0.903
3361.94365, 0.903
3370.375355, 0.901
3378.80706, 0.901
3387.238765, 0.901
3395.67047, 0.901
3404.102175, 0.901
3412.53388, 0.901
3420.965585, 0.901
3429.39729, 0.899
3437.828995, 0.899
3446.2607, 0.899
3454.692405, 0.899
3463.12411, 0.898
3471.555815, 0.898
3479.98752, 0.8967
3488.419225, 0.896
3496.85093, 0.896
3505.282635, 0.896
3513.71434, 0.896
3522.146045, 0.898
3530.57775, 0.898
3539.009455, 0.898
3547.44116, 0.899
3555.872865, 0.898
3564.30457, 0.898
3572.736275, 0.896
3581.16798, 0.8947
3589.599685, 0.893
3598.03139, 0.896
3606.463095, 0.8947
3614.8948, 0.893
3623.326505, 0.893
3631.75821, 0.893
3640.189915, 0.891
3648.62162, 0.891
3657.053325, 0.891
3665.48503, 0.893
3673.916735, 0.893
3682.34844, 0.893
3690.780145, 0.894
3699.21185, 0.893
3707.643555, 0.893
3716.07526, 0.893
3724.506965, 0.893
3732.93867, 0.893
3741.370375, 0.893
3749.80208, 0.8917
3758.233785, 0.8917
3766.66549, 0.891
3775.097195, 0.8897
3783.5289, 0.889
3791.960605, 0.889
3800.39231, 0.887
3808.824015, 0.887
3817.25572, 0.887
3825.687425, 0.886
3834.11913, 0.886
3842.550835, 0.886
3850.98254, 0.886
3859.414245, 0.887
3867.84595, 0.886
3876.277655, 0.886
3884.70936, 0.886
3893.141065, 0.886
3901.57277, 0.886
3910.004475, 0.886
3918.43618, 0.887
3926.867885, 0.887
3935.29959, 0.887
